ID,Section,Label,Country,Year,Value,Flag,Breakdown,,
ECEC1,ECEC,Shares of children in formal ECEC ,Cyprus,2019,91,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Latvia,2019,87,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Lithuania,2019,82.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Luxembourg,2019,93.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Hungary,2019,87.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Malta,2019,88.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Netherlands,2019,96.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Austria,2019,87.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Poland,2019,77,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Portugal,2019,94.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Romania,2019,77.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovenia,2019,96.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovakia,2019,81.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Finland,2019,86.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Sweden,2019,96.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,EU27,2020,84.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Belgium,2020,97.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Bulgaria,2020,91.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Czechia,2020,78.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Denmark,2020,92.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Germany,2020,57.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Estonia,2020,94.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Ireland,2020,89.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Greece,2020,86.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Spain,2020,97.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,France,2020,98.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Croatia,2020,67.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Italy,2020,,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Cyprus,2020,83.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Latvia,2020,84.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Lithuania,2020,87.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Luxembourg,2020,91.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Hungary,2020,81.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Malta,2020,87,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Netherlands,2020,95.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Austria,2020,87.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Poland,2020,73.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Portugal,2020,90,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Romania,2020,64.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovenia,2020,96.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovakia,2020,81.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Finland,2020,84,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Sweden,2020,96,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,EU27,2021,87.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Belgium,2021,97.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Bulgaria,2021,90.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Czechia,2021,62.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Denmark,2021,92.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Germany,2021,88.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Estonia,2021,92.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Ireland,2021,79.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Greece,2021,83.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Spain,2021,98,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,France,2021,94.9,,Children aged 3 up to compulsory school age,,
