survey,variable,question_label
EWCSR1,hh3_5b_ef6,hh3_5b_ef6. Age - Person 5.
EWCSR1,hh3_6b_ef6,hh3_6b_ef6. Age - Person 6.
EWCSR1,hh3_7b_ef6,hh3_7b_ef6. Age - Person 7.
EWCSR1,hh3_8b_ef6,hh3_8b_ef6. Age - Person 8.
EWCSR1,hh3_9b_ef6,hh3_9b_ef6. Age - Person 9.
EWCSR1,hh3_10b_ef6,hh3_10b_ef6. Age - Person 10.
EWCSR1,q2b_ef,q2b_ef. How old were you when you stopped full-time education?
EWCSR1,q2c_ef,q2c_ef. How many years have you been in paid employment since the age at which you stopped full-time education?
EWCSR1,q2d_ef,q2d_ef. How many years have you been in your company or organisation?
EWCSR1,q3c_1_ef,q3c_1_ef. What is the exact duration of the contract in number of years?
EWCSR1,q3c_2_ef,q3c_2_ef. What is the exact duration of the contract in number of months?
EWCSR1,q7_ef,q7_ef. How many people work under your supervision?
EWCSR1,q8a_ef,q8a_ef. How many hours do you usually work per week in your main paid job?
EWCSR1,q9b_ef,q9b_ef. How many hours a week on average do you work in job(s) other than your main paid job?
EWCSR1,q13_ef,"q13_ef. In total, how many minutes per day do you normally spend travelling from home to work and back?"
EWCSR1,q14a_ef,"q14a_ef. Normally, how many times a month do you work at night, for at least 2 hours?"
EWCSR1,q14b_ef,"q14b_ef. How many times a month do you work in the evening, for at least 2 hours?"
EWCSR1,q14c_ef,q14c_ef. How many times a month do you work on Sundays?
EWCSR1,q14d_ef,q14d_ef. How many times a month do you work on Saturdays?
EWCSR1,q14e_ef,q14e_ef. How many times a month do you work more than 10 hours a day?
EWCSR1,q28a_2_ef,"q28a_2_ef. Training paid for or provided by your employer, or by yourself if you are self-employed - number of days:"
EWCSR1,q28b_2_ef,q28b_2_ef. Training paid for by yourself - number of days:
EWCSR1,q34b_ef,q34b_ef. Over the past 12 months how many days in total  were you absent from work for reasons of health problems?
EWCSR1,q34c_1_ef,"q34c_1_ef. Of the days of absence indicated above, how many days were attributable to accident(s) at work:"
EWCSR1,q34c_2_ef,"q34c_2_ef. Of the days of absence indicated above, how many days were attributable to health problems caused by your work:"
EWCSR1,ef4.1a_ef,ef4.1a_ef. How many hours per day are you involved: Voluntary or charitable activity
EWCSR1,ef4.1b_ef,ef4.1b_ef. How many hours per day are you involved: Political/trade union activity
EWCSR1,ef4.1c_ef,ef4.1c_ef. How many hours per day are you involved: Caring for and educating your children
EWCSR1,ef4.1d_ef,ef4.1d_ef. How many hours per day are you involved: Cooking and housework
EWCSR1,ef4.1e_ef,ef4.1e_ef. How many hours per day are you involved: Caring for elderly/disabled relatives
EWCSR1,ef4.1f_ef,ef4.1f_ef. How many hours per day are you involved: Taking a training or education course
EWCSR1,ef4.1g_ef,"ef4.1g_ef. How many hours per day are you involved: Sporting, cultural or leisure activity outside your home"
EWCSR1,w1,Selection probability weight (For Germany only)
EWCSR1,w0,Initial (before trimming) Weight adjusted to size
EWCSR1,w3,Persons in employment in COUNTRY (in thousands)
EWCSR1,w4,Post-stratification weight after trimming
EWCSR1,w5_ewcs,w5_ewcs. Cross national weight: Total sample
EWCSR1,w5_eu25,w5_eu25. Cross national weight: EU-25
EWCSR1,w5_nms,w5_nms. Cross national weight: NMS-10
EWCSR1,w5_eu12,w5_eu12. Cross national weight: EU-12
EWCSR1,w5_ac2,w5_ac2
EWCSR1,w5_cc2,w5_cc2
EWCSR1,w5_eu27,w5_eu27. Cross national weight: EU-27
EWCSR1,q02,COUNTRY CODE
EWCSR1,q04,INTERVIEW NUMBER
EWCSR1,d1r,"D.1. In political matters people talk of ""the left"" and ""the right""."
EWCSR1,d7c1,"D7C: Yes, respondent"
EWCSR1,d7c2,"D7C: Yes, someone else in the household"
EWCSR1,d7c3,D7C: Nobody in the household
EWCSR1,d7c4,D7C: DK
EWCSR1,d8rc1,D8RC: Respondent
EWCSR1,d8rc2,D8RC: Nobody in the household
EWCSR1,d9,D.9. Of which trade union are you a member?
EWCSR1,d10,D.10.  Are you ...?
EWCSR1,d11,D.11. How old were you when you finished your full-time education?
EWCSR1,d12,D.12. SEX
EWCSR1,d13,D.13. How old are you?
EWCSR1,d13r,D.13. How old are you? (REC. 1)
EWCSR1,d13r1,D.13. How old are you? (REC. 2)
EWCSR1,age_90,D.13. How old are you? (REC. 3)
EWCSR1,d14,"D.14. How many people live in your household, including yourself, all adults and children?"
EWCSR1,d15,D.15. How many children under 15 living at home?
EWCSR1,d16,D.16. We would like to analyse the survey results according to the income of the people we interviewed
EWCSR1,d16c,D.16. Here is an income scale; we would like to know in what group your family is
EWCSR1,d17r,D.17. What is your occupation?
EWCSR1,d18r,D.18. Did you do any paid work in the past?
EWCSR1,d19,D.19. Are you/were you in ...?
EWCSR1,d20,D.20. How many paid people are working/were working where you work/worked?
EWCSR1,d21,D.21. How many people are working/were working under your supervision?
EWCSR1,d22,D.22.  Are you the head of the household?
EWCSR1,d23r,D.23. What is the occupation of the head of household?
EWCSR1,d25,"D.25. If you were asked to choose one of these five names for your social class, which would you say you belong to?"
EWCSR1,d26,D.26. Do you live in a house or an apartment? And do you or your family own or rent your home? (SHOW CARD)
EWCSR1,d27,D.27. Would you say you live in a ...?
EWCSR1,d28,D.28. Do you consider yourself as belonging to a particular religion? (IF YES) Which one?
EWCSR1,d29,"D.29. Do you attend religious services several times a week, once a week, a few times a year, once a year or less or never?"
EWCSR1,d30,"D.30. Whether you do or you don't follow religious practices, would you say that you are ...?"
EWCSR1,a1r3,"A.1. (REC. 1) What is the main business-activity of the establishment (factory, office...) where you work?"
EWCSR1,a1r4,"A.1. (REC. 2) What is the main business-activity of the establishment (factory, office...) where you work?"
EWCSR1,a2,Average (A2)
EWCSR1,a2r,A.2. How many hours do you usually work per day?
EWCSR1,a3,Average (A3)
EWCSR1,a3r,A.3. How many hours do you usually work per week?
EWCSR1,a4,"A.4. Do you work shifts (that is sometimes working mornings, sometimes afternoons or sometimes nights)?"
EWCSR1,a5,"A.5. Do you use machines, or equipment that could be dangerous? (SHOW CARD)"
EWCSR1,a6,A.6. Would you say that your professional activity affects or could affect your health?
EWCSR1,a7c01,"A7C: Difficult, tiring for the eyes"
EWCSR1,a7c02,A7C: Stressful
EWCSR1,a7c03,A7C: Tiring/painful for the ears
EWCSR1,a7c04,A7C: Muscular pains in the limbs (arms or legs)
EWCSR1,a7c05,A7C: Backache
EWCSR1,a7c06,A7C: Breathing difficulties (e.g. lack of air/polluted air/dangerous substances)
EWCSR1,a7c07,"A7C: Overall tiredness, work that is too tiring"
EWCSR1,a7c08,A7C: Skin problems
EWCSR1,a7c09,A7C: Personal problems at the workplace
EWCSR1,a7c10,A7C: Other
EWCSR1,a7c11,A7C: DK
EWCSR1,a8,A.8. Do you think that your work makes you run the risk of accident or injury?
EWCSR1,a9c01,A9C: Explosion
EWCSR1,a9c02,A9C: Poisoning/polluted environment
EWCSR1,a9c03,A9C: Cutting yourself
EWCSR1,a9c04,A9C: Burning yourself
EWCSR1,a9c05,A9C: Drowning
EWCSR1,a9c06,A9C: Falling
EWCSR1,a9c07,A9C: Being crushed
EWCSR1,a9c08,A9C: Hurting yourself by carrying heavy weights
EWCSR1,a9c09,A9C: Electrocution
EWCSR1,a9c10,A9C: Falling objects
EWCSR1,a9c11,A9C: Traffic accidents (excluding travelling to and from work)
EWCSR1,a9c12,A9C: Other types of danger
EWCSR1,a9c13,A9C: DK
EWCSR1,a10_1,A.10. a) Noise so loud that you would have to raise your voice to talk to people
EWCSR1,a10_2,"A.10. b) Bad weather conditions such as rain, wind, snow, ..."
EWCSR1,a10_3,A.10. c) Heat or cold either indoors or outdoors
